datetime,open,high,low,close,volume,code
2026-03-01 09:00:00,120000,120011,119863,119865,19722,000660
2026-03-01 09:01:00,119865,119883,119684,119703,1282,000660
2026-03-01 09:02:00,119703,119935,119686,119903,9444,000660
2026-03-01 09:03:00,119903,119996,119859,119982,15312,000660
2026-03-01 09:04:00,119982,120071,119959,120041,10175,000660
2026-03-01 09:05:00,120041,120045,119942,119982,19386,000660
2026-03-01 09:06:00,119982,120015,119782,119782,11567,000660
2026-03-01 09:07:00,119782,119855,119770,119839,11662,000660
2026-03-01 09:08:00,119839,120049,119801,120035,16223,000660
2026-03-01 09:09:00,120035,120039,119921,119941,9083,000660
2026-03-01 09:10:00,119941,120141,119937,120129,12970,000660
2026-03-01 09:11:00,120129,120167,119936,119938,18435,000660
2026-03-01 09:12:00,119938,119978,119919,119977,6666,000660
2026-03-01 09:13:00,119977,120048,119956,120005,16594,000660
2026-03-01 09:14:00,120005,120027,119818,119855,8932,000660
2026-03-01 09:15:00,119855,119951,119838,119914,16011,000660
2026-03-01 09:16:00,119914,119940,119858,119890,5098,000660
2026-03-01 09:17:00,119890,119896,119666,119709,10251,000660
2026-03-01 09:18:00,119709,119729,119524,119524,9502,000660
2026-03-01 09:19:00,119524,119552,119345,119378,4440,000660
2026-03-01 09:20:00,119378,119390,119271,119285,13940,000660
2026-03-01 09:21:00,119285,119300,119237,119269,4031,000660
2026-03-01 09:22:00,119269,119329,119244,119281,11282,000660
2026-03-01 09:23:00,119281,119461,119232,119411,3319,000660
2026-03-01 09:24:00,119411,119600,119378,119560,1581,000660
2026-03-01 09:25:00,119560,119757,119558,119730,6453,000660
2026-03-01 09:26:00,119730,119746,119531,119576,2934,000660
2026-03-01 09:27:00,119576,119596,119450,119470,4540,000660
2026-03-01 09:28:00,119470,119643,119464,119622,15887,000660
2026-03-01 09:29:00,119622,119814,119590,119795,7323,000660
2026-03-01 09:30:00,119795,119826,119758,119804,14033,000660
2026-03-01 09:31:00,119804,119976,119798,119952,4742,000660
2026-03-01 09:32:00,119952,120024,119931,120012,17377,000660
2026-03-01 09:33:00,120012,120077,119974,120054,16098,000660
2026-03-01 09:34:00,120054,120054,119975,119995,2041,000660
2026-03-01 09:35:00,119995,120011,119865,119914,9350,000660
2026-03-01 09:36:00,119914,120048,119905,120022,10762,000660
2026-03-01 09:37:00,120022,120047,119981,120039,8661,000660
2026-03-01 09:38:00,120039,120089,119883,119918,6060,000660
2026-03-01 09:39:00,119918,119931,119865,119894,19509,000660
2026-03-01 09:40:00,119894,119919,119847,119892,2393,000660
2026-03-01 09:41:00,119892,120095,119858,120086,16162,000660
2026-03-01 09:42:00,120086,120110,120037,120044,19719,000660
2026-03-01 09:43:00,120044,120075,119947,119952,4392,000660
2026-03-01 09:44:00,119952,119992,119856,119875,3665,000660
2026-03-01 09:45:00,119875,119923,119847,119872,9253,000660
2026-03-01 09:46:00,119872,119882,119748,119792,4277,000660
2026-03-01 09:47:00,119792,119895,119781,119849,19789,000660
2026-03-01 09:48:00,119849,119890,119700,119736,8050,000660
2026-03-01 09:49:00,119736,119909,119732,119896,9673,000660
2026-03-01 09:50:00,119896,119973,119852,119936,12550,000660
2026-03-01 09:51:00,119936,120125,119904,120081,1654,000660
2026-03-01 09:52:00,120081,120092,119960,119980,14664,000660
2026-03-01 09:53:00,119980,120054,119966,120008,16284,000660
2026-03-01 09:54:00,120008,120039,119841,119885,6257,000660
2026-03-01 09:55:00,119885,119893,119689,119725,18692,000660
2026-03-01 09:56:00,119725,119846,119692,119800,7031,000660
2026-03-01 09:57:00,119800,119992,119772,119957,17089,000660
2026-03-01 09:58:00,119957,120099,119926,120075,3823,000660
2026-03-01 09:59:00,120075,120296,120055,120259,10551,000660
