datetime,open,high,low,close,volume,code
2026-03-01 09:00:00,60000,60021,59899,59913,10213,035720
2026-03-01 09:01:00,59913,59976,59897,59926,11961,035720
2026-03-01 09:02:00,59926,59953,59746,59764,19241,035720
2026-03-01 09:03:00,59764,59812,59721,59775,16551,035720
2026-03-01 09:04:00,59775,59775,59606,59612,4764,035720
2026-03-01 09:05:00,59612,59639,59438,59450,14147,035720
2026-03-01 09:06:00,59450,59478,59296,59299,12545,035720
2026-03-01 09:07:00,59299,59463,59294,59443,3713,035720
2026-03-01 09:08:00,59443,59493,59412,59483,5920,035720
2026-03-01 09:09:00,59483,59523,59271,59299,16893,035720
2026-03-01 09:10:00,59299,59328,59206,59226,9036,035720
2026-03-01 09:11:00,59226,59269,59009,59041,17704,035720
2026-03-01 09:12:00,59041,59048,58960,58975,18916,035720
2026-03-01 09:13:00,58975,58976,58848,58855,1613,035720
2026-03-01 09:14:00,58855,58881,58824,58862,12964,035720
2026-03-01 09:15:00,58862,59085,58816,59054,11894,035720
2026-03-01 09:16:00,59054,59072,59011,59039,16266,035720
2026-03-01 09:17:00,59039,59039,59008,59037,6794,035720
2026-03-01 09:18:00,59037,59089,59032,59054,1475,035720
2026-03-01 09:19:00,59054,59243,59026,59195,17723,035720
2026-03-01 09:20:00,59195,59335,59164,59304,2157,035720
2026-03-01 09:21:00,59304,59526,59288,59487,10637,035720
2026-03-01 09:22:00,59487,59513,59379,59424,12762,035720
2026-03-01 09:23:00,59424,59524,59410,59520,4504,035720
2026-03-01 09:24:00,59520,59569,59504,59544,6169,035720
2026-03-01 09:25:00,59544,59590,59399,59400,13851,035720
2026-03-01 09:26:00,59400,59579,59396,59571,14033,035720
2026-03-01 09:27:00,59571,59614,59448,59478,14464,035720
2026-03-01 09:28:00,59478,59538,59477,59497,15748,035720
2026-03-01 09:29:00,59497,59619,59483,59609,17861,035720
2026-03-01 09:30:00,59609,59804,59568,59790,2035,035720
2026-03-01 09:31:00,59790,59865,59780,59858,2558,035720
2026-03-01 09:32:00,59858,59867,59800,59823,11730,035720
2026-03-01 09:33:00,59823,59997,59775,59973,6926,035720
2026-03-01 09:34:00,59973,60040,59955,59998,7498,035720
2026-03-01 09:35:00,59998,60186,59965,60167,1630,035720
2026-03-01 09:36:00,60167,60242,60137,60230,4698,035720
2026-03-01 09:37:00,60230,60419,60205,60405,16070,035720
2026-03-01 09:38:00,60405,60414,60233,60248,18800,035720
2026-03-01 09:39:00,60248,60269,60074,60105,5183,035720
2026-03-01 09:40:00,60105,60113,59975,60024,13488,035720
2026-03-01 09:41:00,60024,60058,59921,59955,11977,035720
2026-03-01 09:42:00,59955,59957,59893,59943,5187,035720
2026-03-01 09:43:00,59943,60127,59914,60081,1070,035720
2026-03-01 09:44:00,60081,60111,59862,59908,5877,035720
2026-03-01 09:45:00,59908,59967,59858,59931,14589,035720
2026-03-01 09:46:00,59931,59983,59923,59954,9658,035720
2026-03-01 09:47:00,59954,59992,59789,59815,10153,035720
2026-03-01 09:48:00,59815,60007,59779,59998,12383,035720
2026-03-01 09:49:00,59998,60117,59994,60080,11330,035720
2026-03-01 09:50:00,60080,60255,60067,60212,6906,035720
2026-03-01 09:51:00,60212,60252,60165,60214,5509,035720
2026-03-01 09:52:00,60214,60215,60109,60113,8695,035720
2026-03-01 09:53:00,60113,60120,59903,59914,1971,035720
2026-03-01 09:54:00,59914,59956,59849,59892,4813,035720
2026-03-01 09:55:00,59892,59955,59885,59914,19467,035720
2026-03-01 09:56:00,59914,60091,59906,60053,8784,035720
2026-03-01 09:57:00,60053,60200,60039,60188,14110,035720
2026-03-01 09:58:00,60188,60233,60009,60013,10202,035720
2026-03-01 09:59:00,60013,60051,59853,59862,16317,035720
