datetime,open,high,low,close,volume,code
2026-03-01 09:00:00,70000,70221,69980,70176,12606,005930
2026-03-01 09:01:00,70176,70222,70130,70213,9455,005930
2026-03-01 09:02:00,70213,70232,70048,70049,8155,005930
2026-03-01 09:03:00,70049,70050,69961,69983,11558,005930
2026-03-01 09:04:00,69983,70179,69983,70142,6673,005930
2026-03-01 09:05:00,70142,70185,70018,70053,1262,005930
2026-03-01 09:06:00,70053,70259,70026,70220,15280,005930
2026-03-01 09:07:00,70220,70311,70199,70285,18288,005930
2026-03-01 09:08:00,70285,70497,70275,70457,19511,005930
2026-03-01 09:09:00,70457,70494,70219,70258,14403,005930
2026-03-01 09:10:00,70258,70460,70249,70419,17016,005930
2026-03-01 09:11:00,70419,70488,70393,70474,6293,005930
2026-03-01 09:12:00,70474,70630,70465,70617,8780,005930
2026-03-01 09:13:00,70617,70643,70479,70515,3475,005930
2026-03-01 09:14:00,70515,70597,70497,70571,16073,005930
2026-03-01 09:15:00,70571,70616,70523,70614,4906,005930
2026-03-01 09:16:00,70614,70653,70571,70627,6627,005930
2026-03-01 09:17:00,70627,70651,70598,70644,6444,005930
2026-03-01 09:18:00,70644,70802,70615,70752,19875,005930
2026-03-01 09:19:00,70752,70793,70528,70578,14899,005930
2026-03-01 09:20:00,70578,70760,70575,70754,13563,005930
2026-03-01 09:21:00,70754,70934,70718,70901,1835,005930
2026-03-01 09:22:00,70901,71039,70888,71026,18259,005930
2026-03-01 09:23:00,71026,71051,70900,70914,10814,005930
2026-03-01 09:24:00,70914,71082,70906,71044,6140,005930
2026-03-01 09:25:00,71044,71239,71017,71228,5367,005930
2026-03-01 09:26:00,71228,71296,71205,71261,9095,005930
2026-03-01 09:27:00,71261,71321,71212,71311,16914,005930
2026-03-01 09:28:00,71311,71504,71283,71487,5605,005930
2026-03-01 09:29:00,71487,71705,71457,71665,3060,005930
2026-03-01 09:30:00,71665,71764,71629,71725,1690,005930
2026-03-01 09:31:00,71725,71841,71722,71829,8796,005930
2026-03-01 09:32:00,71829,72015,71783,71983,12859,005930
2026-03-01 09:33:00,71983,72026,71835,71883,9946,005930
2026-03-01 09:34:00,71883,72070,71859,72055,15246,005930
2026-03-01 09:35:00,72055,72154,72055,72132,5545,005930
2026-03-01 09:36:00,72132,72278,72132,72254,4808,005930
2026-03-01 09:37:00,72254,72302,72056,72079,4058,005930
2026-03-01 09:38:00,72079,72126,71856,71892,16136,005930
2026-03-01 09:39:00,71892,71907,71775,71778,9700,005930
2026-03-01 09:40:00,71778,71833,71776,71821,3244,005930
2026-03-01 09:41:00,71821,71973,71819,71958,12884,005930
2026-03-01 09:42:00,71958,71988,71785,71795,2064,005930
2026-03-01 09:43:00,71795,72000,71777,71962,4100,005930
2026-03-01 09:44:00,71962,71990,71927,71975,13328,005930
2026-03-01 09:45:00,71975,72059,71968,72050,15649,005930
2026-03-01 09:46:00,72050,72147,72031,72145,16274,005930
2026-03-01 09:47:00,72145,72276,72115,72267,18955,005930
2026-03-01 09:48:00,72267,72316,72063,72097,10948,005930
2026-03-01 09:49:00,72097,72097,71952,71993,7537,005930
2026-03-01 09:50:00,71993,72123,71967,72101,2840,005930
2026-03-01 09:51:00,72101,72183,72067,72180,10022,005930
2026-03-01 09:52:00,72180,72197,72058,72098,19984,005930
2026-03-01 09:53:00,72098,72146,72009,72030,3546,005930
2026-03-01 09:54:00,72030,72178,72000,72154,1011,005930
2026-03-01 09:55:00,72154,72384,72125,72353,5615,005930
2026-03-01 09:56:00,72353,72405,72323,72356,16830,005930
2026-03-01 09:57:00,72356,72557,72320,72525,7038,005930
2026-03-01 09:58:00,72525,72567,72424,72429,14979,005930
2026-03-01 09:59:00,72429,72458,72328,72341,5774,005930
